t,KRT17,EMP1,S100A2,KRT16,t_grid,KRT17_pinn,EMP1_pinn,S100A2_pinn,KRT16_pinn
0.9083036,1.9801227,1.2659061,1.3512256,1.1600868,,,,,
0.4805801,2.5248547,0.0,2.8999643,2.2438693,,,,,
0.9559057,0.0,1.9663645,2.2632265,1.9663645,,,,,
0.13259333,0.0,0.0,0.0,0.0,,,,,
0.47578934,2.180968,2.1044593,2.5488284,0.0,,,,,
0.4825624,1.7767938,0.0,2.3488326,1.3007245,,,,,
0.49724257,2.3845835,1.867471,2.3845835,0.0,,,,,
0.5528539,2.6322231,1.5339665,1.73729,2.04372,,,,,
0.4831607,1.3730602,0.47714412,1.7105559,0.7443142,,,,,
0.49608636,1.648479,1.1524676,2.6225843,0.0,,,,,
0.42416087,1.7491759,0.0,1.5850967,1.857282,,,,,
0.520947,1.9921582,1.5932857,2.3854299,2.1825306,,,,,
0.5059559,2.6194737,1.1749293,2.311147,0.0,,,,,
0.46203706,1.3749884,0.9496807,1.8512242,0.0,,,,,
0.12242114,0.0,0.0,0.0,0.0,,,,,
0.51185834,2.2225604,0.0,2.5630074,0.96722823,,,,,
0.4542488,2.4828076,1.6321521,2.7663808,1.2992151,,,,,
0.55566764,2.5830107,0.0,2.5451007,0.0,,,,,
0.44800994,0.0,0.0,0.0,0.0,,,,,
0.53056586,2.4682662,0.0,3.0743203,2.01015,,,,,
0.5096143,2.1790628,0.0,1.8055459,1.4732444,,,,,
0.47705826,0.0,1.4715416,0.0,0.0,,,,,
0.50225556,0.0,0.0,0.0,0.0,,,,,
0.2360184,2.410134,1.4507029,1.7587314,1.7587314,,,,,
0.48795062,0.0,2.0570283,0.0,0.0,,,,,
0.4806347,2.275447,2.0245724,2.5593722,0.96521556,,,,,
0.537171,3.1847198,2.2853525,3.072363,2.7831306,,,,,
0.5029192,2.6206815,1.6686162,2.9126103,1.9784418,,,,,
0.50592786,2.3833811,1.6068072,2.719788,1.151276,,,,,
0.5442319,2.843721,1.8849347,0.0,2.1842752,,,,,
0.4958322,2.5769627,0.0,2.6600072,0.0,,,,,
0.4666655,2.2810152,2.0037894,2.716791,0.0,,,,,
0.49181184,2.2600572,1.3695632,2.3837795,1.4816533,,,,,
0.50475234,2.7490528,1.7840517,2.8542624,1.7840517,,,,,
0.11910394,0.0,0.0,0.0,0.0,,,,,
0.4810255,2.428903,2.1375232,3.0652573,2.1375232,,,,,
0.5659654,2.0260072,1.5405326,2.0260072,2.2141707,,,,,
0.49583754,2.6375687,1.4510174,2.7631063,2.001398,,,,,
0.4835547,2.440916,1.9109981,2.907266,0.0,,,,,
0.8711845,2.6532161,0.0,2.0001762,2.4051073,,,,,
0.4757016,1.8473393,0.7464796,2.0737717,0.0,,,,,
0.8477436,1.8103251,1.6901716,1.8103251,1.8985002,,,,,
